week,C.Kmet,D.Moore,D.Swift,K.Allen,R.Odunze
1,3.333333333,26.66666667,0.0,36.66666667,13.33333333
2,14.70588235,29.41176471,14.70588235,0.0,14.70588235
3,22.44897959,20.40816327,8.163265306,0.0,22.44897959
4,13.63636364,27.27272727,31.81818182,13.63636364,13.63636364
5,13.79310345,27.5862069,6.896551724,24.13793103,20.68965517
6,19.23076923,19.23076923,15.38461538,19.23076923,7.692307692
8,9.090909091,18.18181818,0.0,31.81818182,27.27272727
9,0.0,25.0,16.66666667,27.77777778,19.44444444
10,15.38461538,23.07692308,3.846153846,23.07692308,23.07692308
11,12.5,21.875,6.25,25.0,31.25
12,20.40816327,16.32653061,8.163265306,32.65306122,20.40816327
13,10.81081081,43.24324324,8.108108108,21.62162162,16.21621622
14,4.0,32.0,8.0,20.0,20.0
15,3.125,28.125,3.125,40.625,21.875
16,5.405405405,27.02702703,8.108108108,35.13513514,18.91891892
17,0.0,30.76923077,19.23076923,30.76923077,15.38461538
18,8.333333333,41.66666667,8.333333333,12.5,8.333333333
