game_id,play_id,pass_location,air_yards
2024_01_TEN_CHI,184.0,right,-2.0
2024_01_TEN_CHI,209.0,left,24.0
2024_01_TEN_CHI,442.0,left,28.0
2024_01_TEN_CHI,477.0,left,5.0
2024_01_TEN_CHI,578.0,middle,12.0
2024_01_TEN_CHI,608.0,right,-5.0
2024_01_TEN_CHI,1077.0,right,11.0
2024_01_TEN_CHI,1107.0,left,6.0
2024_01_TEN_CHI,1159.0,left,35.0
2024_01_TEN_CHI,1767.0,left,10.0
2024_01_TEN_CHI,1853.0,left,9.0
2024_01_TEN_CHI,1895.0,left,2.0
2024_01_TEN_CHI,1920.0,left,6.0
2024_01_TEN_CHI,2077.0,middle,0.0
2024_01_TEN_CHI,2140.0,middle,8.0
2024_01_TEN_CHI,2163.0,left,8.0
2024_01_TEN_CHI,2188.0,left,8.0
2024_01_TEN_CHI,2235.0,middle,9.0
2024_01_TEN_CHI,2724.0,right,1.0
2024_01_TEN_CHI,2747.0,middle,8.0
2024_01_TEN_CHI,2926.0,right,1.0
2024_01_TEN_CHI,2949.0,right,4.0
2024_01_TEN_CHI,3016.0,left,-2.0
2024_01_TEN_CHI,3041.0,left,5.0
2024_01_TEN_CHI,3183.0,right,32.0
2024_01_TEN_CHI,3391.0,left,-7.0
2024_01_TEN_CHI,3448.0,left,6.0
2024_01_TEN_CHI,3816.0,right,-5.0
2024_01_TEN_CHI,3924.0,left,-3.0
2024_02_CHI_HOU,303.0,left,0.0
2024_02_CHI_HOU,350.0,right,14.0
2024_02_CHI_HOU,375.0,left,1.0
2024_02_CHI_HOU,422.0,right,3.0
2024_02_CHI_HOU,447.0,left,7.0
2024_02_CHI_HOU,856.0,middle,-6.0
2024_02_CHI_HOU,881.0,right,6.0
2024_02_CHI_HOU,906.0,right,4.0
2024_02_CHI_HOU,1315.0,right,4.0
2024_02_CHI_HOU,1340.0,left,-9.0
2024_02_CHI_HOU,1537.0,right,1.0
2024_02_CHI_HOU,1584.0,right,3.0
2024_02_CHI_HOU,1609.0,left,-4.0
2024_02_CHI_HOU,1641.0,middle,2.0
2024_02_CHI_HOU,1781.0,right,2.0
2024_02_CHI_HOU,2132.0,left,2.0
2024_02_CHI_HOU,2179.0,left,27.0
2024_02_CHI_HOU,2444.0,right,18.0
2024_02_CHI_HOU,2687.0,right,5.0
2024_02_CHI_HOU,2750.0,right,-1.0
2024_02_CHI_HOU,2828.0,left,-5.0
2024_02_CHI_HOU,3177.0,right,-6.0
2024_02_CHI_HOU,3222.0,left,-4.0
2024_02_CHI_HOU,3247.0,left,26.0
2024_02_CHI_HOU,3491.0,right,-6.0
2024_02_CHI_HOU,3516.0,right,27.0
2024_02_CHI_HOU,3679.0,left,26.0
2024_02_CHI_HOU,3935.0,middle,12.0
2024_02_CHI_HOU,3980.0,left,5.0
2024_02_CHI_HOU,4005.0,left,51.0
2024_02_CHI_HOU,4028.0,left,5.0
2024_02_CHI_HOU,4053.0,right,5.0
2024_02_CHI_HOU,4089.0,right,7.0
2024_02_CHI_HOU,4199.0,left,21.0
2024_02_CHI_HOU,4401.0,right,12.0
2024_02_CHI_HOU,4426.0,right,5.0
2024_02_CHI_HOU,4502.0,right,25.0
2024_03_CHI_IND,79.0,left,13.0
2024_03_CHI_IND,102.0,left,6.0
2024_03_CHI_IND,198.0,left,-1.0
2024_03_CHI_IND,245.0,right,-1.0
2024_03_CHI_IND,270.0,left,37.0
2024_03_CHI_IND,602.0,right,18.0
2024_03_CHI_IND,625.0,left,23.0
2024_03_CHI_IND,863.0,left,5.0
2024_03_CHI_IND,964.0,right,-2.0
2024_03_CHI_IND,1224.0,left,40.0
2024_03_CHI_IND,1283.0,right,12.0
2024_03_CHI_IND,1311.0,left,2.0
2024_03_CHI_IND,1520.0,left,2.0
2024_03_CHI_IND,1545.0,left,23.0
2024_03_CHI_IND,1575.0,right,-4.0
2024_03_CHI_IND,1598.0,right,5.0
2024_03_CHI_IND,1633.0,left,-1.0
2024_03_CHI_IND,1658.0,left,19.0
2024_03_CHI_IND,1726.0,left,-3.0
2024_03_CHI_IND,1778.0,right,3.0
2024_03_CHI_IND,2093.0,left,12.0
2024_03_CHI_IND,2128.0,left,-1.0
2024_03_CHI_IND,2151.0,right,3.0
2024_03_CHI_IND,2253.0,right,36.0
2024_03_CHI_IND,2276.0,right,7.0
2024_03_CHI_IND,2324.0,right,44.0
2024_03_CHI_IND,2413.0,left,12.0
2024_03_CHI_IND,2465.0,right,-1.0
2024_03_CHI_IND,2488.0,right,0.0
2024_03_CHI_IND,2733.0,left,3.0
2024_03_CHI_IND,2864.0,left,22.0
2024_03_CHI_IND,3088.0,left,41.0
2024_03_CHI_IND,3408.0,left,-4.0
2024_03_CHI_IND,3475.0,left,5.0
2024_03_CHI_IND,3522.0,right,5.0
2024_03_CHI_IND,3547.0,right,10.0
2024_03_CHI_IND,3594.0,middle,16.0
2024_03_CHI_IND,3617.0,right,10.0
2024_03_CHI_IND,3669.0,right,0.0
2024_03_CHI_IND,3694.0,middle,6.0
2024_03_CHI_IND,3743.0,left,1.0
2024_03_CHI_IND,4105.0,right,6.0
2024_03_CHI_IND,4168.0,middle,22.0
2024_03_CHI_IND,4193.0,middle,3.0
2024_03_CHI_IND,4228.0,middle,39.0
2024_03_CHI_IND,4248.0,right,3.0
2024_03_CHI_IND,4416.0,right,10.0
2024_03_CHI_IND,4262.0,middle,15.0
2024_03_CHI_IND,4391.0,left,6.0
